DateC,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Spray
2011-09-12,T002,41.95469,-87.800991,8,0,184
2011-09-12,T003,41.964242,-87.757639,28,1,0
2011-09-12,T008,42.008314,-87.77792099999999,1,0,0
2011-09-12,T011,41.944869,-87.832763,2,0,0
2011-09-12,T012,41.991429,-87.747113,3,0,0
2011-09-12,T013,41.923738,-87.785288,1,0,222
2011-09-12,T018,42.010412,-87.66214000000001,3,0,0
2011-09-12,T027,41.984809000000006,-87.728492,42,0,0
2011-09-12,T028,41.986921,-87.689778,5,0,556
2011-09-12,T030,41.899229999999996,-87.716788,22,0,0
2011-09-12,T031,41.801497999999995,-87.763416,3,0,0
2011-09-12,T033,41.906638,-87.701431,7,0,0
2011-09-12,T035,41.763733,-87.742302,5,0,35
2011-09-12,T039,41.911823999999996,-87.726737,4,1,0
2011-09-12,T043,41.857402,-87.694991,1,0,0
2011-09-12,T046,41.891118,-87.65449100000001,3,0,0
2011-09-12,T047,41.868142,-87.696269,5,0,0
2011-09-12,T048,41.867108,-87.654224,21,0,0
2011-09-12,T054,41.921965,-87.632085,7,0,0
2011-09-12,T061,41.801179,-87.679447,10,0,0
2011-09-12,T062,41.800737,-87.71188000000001,1,0,0
2011-09-12,T063,41.82561,-87.72654900000002,22,0,0
2011-09-12,T065,41.778296999999995,-87.752411,30,0,17
2011-09-12,T066,41.77166,-87.703047,11,0,237
2011-09-12,T073,41.773215,-87.60088,2,0,0
2011-09-12,T074,41.822536,-87.66634300000001,4,0,0
2011-09-12,T079,41.766202,-87.562889,3,0,0
2011-09-12,T080,41.754676,-87.612922,2,0,0
2011-09-12,T081,41.821582,-87.62779599999999,1,0,0
2011-09-12,T082,41.803422999999995,-87.642984,21,0,0
2011-09-12,T083,41.754292,-87.590773,3,0,0
2011-09-12,T089,41.723195000000004,-87.64997,1,0,0
2011-09-12,T090,41.868077,-87.666901,3,0,0
2011-09-12,T094,41.720848,-87.666014,6,0,0
2011-09-12,T095,41.704336,-87.70373599999999,18,0,0
2011-09-12,T102,41.750498,-87.605294,2,0,0
2011-09-12,T114,41.798697,-87.736812,23,0,0
2011-09-12,T128,41.704572,-87.56566600000001,3,0,0
2011-09-12,T135,41.662014,-87.72460799999999,8,0,0
2011-09-12,T138,41.726465000000005,-87.585413,17,0,0
2011-09-12,T145,41.878114000000004,-87.629798,27,0,0
2011-09-12,T147,41.932094,-87.700117,5,0,0
2011-09-12,T151,41.916265,-87.800515,79,0,153
2011-09-12,T152,41.846075,-87.716277,1,0,0
2011-09-12,T155,41.776156,-87.778927,13,0,0
2011-09-12,T158,41.682587,-87.707973,1,0,0
2011-09-12,T159,41.732984,-87.649642,1,0,0
2011-09-12,T160,41.903002,-87.68826700000001,4,0,0
2011-09-12,T200,41.678618,-87.559308,16,0,0
2011-09-12,T209,41.740641,-87.546587,8,0,0
2011-09-12,T212,41.680946,-87.535198,4,0,0
2011-09-12,T218,41.948167,-87.730698,6,1,0
2011-09-12,T220,41.963976,-87.69181,1,0,0
2011-09-12,T222,41.925197999999995,-87.746381,3,0,0
2011-09-12,T223,41.973845000000004,-87.805059,10,0,337
2011-09-12,T224,41.947227000000005,-87.67145699999999,1,0,0
2011-09-12,T226,41.793818,-87.654234,5,0,0
2011-09-12,T227,41.728495,-87.60096300000001,12,0,0
2011-09-12,T230,41.904194,-87.756155,25,1,326
2011-09-12,T231,41.98728,-87.666066,1,0,166
2011-09-12,T232,41.912563,-87.66805500000001,1,0,0
2011-09-12,T233,42.009876,-87.807277,16,0,0
2011-09-12,T235,41.776428,-87.627096,3,0,0
2011-09-12,T236,41.994679,-87.770899,2,0,0
2011-09-12,T237,41.738903,-87.69544300000001,4,0,0
2011-09-12,T238,41.753391,-87.70739399999998,12,0,75
2011-09-12,T900,41.974689000000005,-87.89061500000001,66,1,0
2011-09-12,T903,41.957799,-87.930995,45,0,0
2011-09-16,T002,41.95469,-87.800991,2,0,184
2011-09-16,T003,41.964242,-87.757639,1,0,0
2011-09-16,T008,42.008314,-87.77792099999999,1,0,0
2011-09-16,T011,41.944869,-87.832763,16,0,0
2011-09-16,T012,41.991429,-87.747113,1,0,0
2011-09-16,T013,41.923738,-87.785288,3,0,222
2011-09-16,T017,41.960615999999995,-87.777189,13,0,60
2011-09-16,T027,41.984809000000006,-87.728492,2,0,0
2011-09-16,T028,41.986921,-87.689778,10,0,556
2011-09-16,T030,41.899229999999996,-87.716788,26,0,0
2011-09-16,T031,41.801497999999995,-87.763416,50,0,0
2011-09-16,T033,41.906638,-87.701431,12,0,0
2011-09-16,T035,41.763733,-87.742302,1,0,35
2011-09-16,T043,41.857402,-87.694991,1,0,0
2011-09-16,T046,41.891118,-87.65449100000001,4,0,0
2011-09-16,T047,41.868142,-87.69626899999999,23,0,0
2011-09-16,T048,41.867108,-87.654224,11,0,0
2011-09-16,T049,41.896282,-87.655232,13,0,0
2011-09-16,T054,41.921965,-87.632085,1,0,0
2011-09-16,T061,41.801179,-87.679447,5,0,0
2011-09-16,T062,41.800737,-87.71188000000001,13,0,0
2011-09-16,T063,41.82561,-87.72654900000002,5,0,0
2011-09-16,T065,41.778296999999995,-87.752411,7,0,17
2011-09-16,T066,41.77166,-87.703047,10,0,237
2011-09-16,T069,41.768388,-87.678649,1,0,0
2011-09-16,T074,41.822536,-87.66634300000001,4,0,0
