,Date,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Temp_Min,Temp_Max,Temp_Avg,Temp_Dew_Point,Temp_Wet_Bulb,Heat,Cool,CodeSum,Depth,PrecipTotal,StnPressure,SeaLevel,AvgSpeed,ResultDir,ResultSpeed
0,2007-05-29,T002,41.95469,-87.800991,2,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
1,2007-05-29,T007,41.994991,-87.769279,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
2,2007-05-29,T015,41.974089,-87.824812,5,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
3,2007-05-29,T045,41.9216,-87.666455,2,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
4,2007-05-29,T046,41.891118,-87.65449100000001,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
5,2007-05-29,T048,41.867108,-87.654224,3,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
6,2007-05-29,T049,41.896282,-87.655232,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
7,2007-05-29,T050,41.919343,-87.694259,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
8,2007-05-29,T054,41.921965,-87.632085,5,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
9,2007-05-29,T086,41.688324,-87.676709,2,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
10,2007-05-29,T091,41.862292,-87.64886,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
11,2007-05-29,T094,41.720848,-87.666014,3,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
12,2007-05-29,T096,41.731922,-87.677512,6,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
13,2007-05-29,T129,41.891126,-87.61156,3,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
14,2007-05-29,T143,41.999128999999996,-87.795585,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
15,2007-05-29,T148,42.01743,-87.68776899999999,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
16,2007-05-29,T153,41.907645,-87.760886,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
17,2007-05-29,T159,41.732984,-87.649642,1,0,62.5,88.0,75.5,58.5,65.5,0.0,10.5,"['BR', 'HZ']",0.0,0.0,29.415,30.1,6.95,17.0,5.8
18,2007-06-05,T002,41.95469,-87.800991,9,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
19,2007-06-05,T009,41.981964000000005,-87.812827,2,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
20,2007-06-05,T011,41.944869,-87.832763,1,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
21,2007-06-05,T015,41.974089,-87.824812,3,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
22,2007-06-05,T016,42.011601,-87.81150600000001,1,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
23,2007-06-05,T019,41.94983,-87.69845699999999,1,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
24,2007-06-05,T025,41.979243,-87.750938,1,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
25,2007-06-05,T028,41.986921,-87.689778,2,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
26,2007-06-05,T031,41.801497999999995,-87.763416,1,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
27,2007-06-05,T033,41.906638,-87.701431,3,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
28,2007-06-05,T045,41.9216,-87.666455,4,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
29,2007-06-05,T046,41.891118,-87.65449100000001,1,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
30,2007-06-05,T048,41.867108,-87.654224,4,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
31,2007-06-05,T049,41.896282,-87.655232,2,0,49.0,63.5,56.5,47.5,51.5,8.5,0.0,"['RA', 'BR']",0.0,0.345,29.130000000000003,29.785,7.85,4.0,5.7
